Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Age Group,Average Purchase Amount,Recency,Total Spending,Value Score
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly,52-61,1.894736842105263,37,2736,8.526315789473683
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly,61-70,1.59375,31,1632,7.4906250000000005
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,61-70,1.5142857142857142,34,1855,7.117142857142857
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly,61-70,9.0,8,729,25.2
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,18-26,0.8,44,1620,3.28
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,52-61,1.027027027027027,36,1406,4.827027027027027
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly,44-52,2.6666666666666665,17,864,12.266666666666666
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,61-70,1.9148936170212767,46,4230,6.319148936170213
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months,18-26,1.0,50,2601,2.8
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,26-35,2.6956521739130435,22,1426,11.052173913043477
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually,52-61,1.121212121212121,32,1221,3.587878787878788
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly,26-35,2.1463414634146343,40,3608,9.443902439024392
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly,18-26,1.2941176470588236,16,374,3.7529411764705882
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually,18-26,1.6666666666666667,14,375,6.0
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually,35-44,1.4285714285714286,13,280,5.142857142857143
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,52-61,7.0,7,448,35.0
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,52-61,2.238095238095238,41,3948,9.847619047619048
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,26-35,3.2,14,720,13.12
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly,52-61,1.8235294117647058,16,527,8.570588235294117
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,26-35,1.7173913043478262,45,3634,8.071739130434784
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,35-44,1.763157894736842,37,2546,8.639473684210527
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,52-61,0.8260869565217391,45,1748,2.726086956521739
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,35-44,2.3333333333333335,38,3549,10.733333333333333
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,52-61,0.673469387755102,48,1617,2.693877551020408
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,26-35,1.5333333333333334,44,3105,7.053333333333334
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly,26-35,4.090909090909091,10,495,11.454545454545453
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,26-35,0.8222222222222222,44,1665,3.042222222222222
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,61-70,3.1578947368421053,18,1140,13.263157894736842
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,61-70,2.375,31,2432,10.924999999999999
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually,61-70,0.9512195121951219,40,1599,4.280487804878049
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually,18-26,6.25,15,1600,25.624999999999996
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,18-26,3.45,19,1380,12.765
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly,35-44,1.1521739130434783,45,2438,5.3
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually,44-52,0.8076923076923077,25,546,2.3423076923076924
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,52-61,0.9347826086956522,45,1978,2.7108695652173913
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly,52-61,1.4594594594594594,36,1998,6.5675675675675675
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,35-44,1.4102564102564104,38,2145,3.8076923076923084
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,61-70,0.8571428571428571,34,1050,3.942857142857142
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,44-52,0.7,39,1120,2.59
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,52-61,7.375,7,472,34.6625
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly,35-44,0.7407407407407407,26,540,1.9259259259259258
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly,26-35,0.6666666666666666,35,864,2.5999999999999996
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,44-52,2.611111111111111,35,3384,10.966666666666667
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,35-44,0.56,49,1400,1.6800000000000002
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly,35-44,1.553191489361702,46,3431,7.3
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,18-26,3.5555555555555554,17,1152,15.644444444444446
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly,61-70,1.8,29,1620,7.5600000000000005
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly,61-70,15.8,4,395,72.67999999999999
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly,44-52,2.0555555555555554,17,666,8.222222222222221
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,52-61,3.090909090909091,21,1496,14.527272727272727
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,26-35,0.65625,31,672,2.49375
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,26-35,1.7954545454545454,43,3476,4.847727272727273
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly,61-70,4.368421052631579,18,1577,20.968421052631577
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,61-70,0.8,44,1620,3.84
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,26-35,23.5,3,376,110.45
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly,44-52,0.66,49,1650,2.9040000000000004
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,52-61,2.090909090909091,21,1012,8.154545454545454
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly,44-52,11.666666666666666,5,420,51.333333333333336
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months,18-26,0.8787878787878788,32,957,3.690909090909091
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually,35-44,1.3714285714285714,34,1680,3.977142857142857
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,18-26,1.1818181818181819,21,572,3.4272727272727272
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,44-52,1.9318181818181819,43,3740,5.215909090909092
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,44-52,14.5,3,232,65.25
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,61-70,3.8636363636363638,21,1870,10.431818181818183
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,44-52,1.303030303030303,32,1419,5.472727272727273
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,18-26,1.4324324324324325,36,1961,4.7270270270270265
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,44-52,1.7843137254901962,50,4641,8.386274509803922
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,35-44,2.1818181818181817,43,4224,5.672727272727273
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,18-26,2.88,24,1800,9.504
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,61-70,2.5945945945945947,36,3552,6.745945945945946
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,18-26,1.2727272727272727,21,616,5.090909090909091
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,35-44,1.1428571428571428,34,1400,4.685714285714285
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,44-52,0.7441860465116279,42,1376,3.274418604651163
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,52-61,31.666666666666668,2,285,142.5
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,18-26,0.8541666666666666,47,1968,3.160416666666667
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,44-52,1.1777777777777778,44,2385,4.357777777777778
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,26-35,1.3055555555555556,35,1692,4.569444444444445
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,44-52,5.1875,15,1328,18.675
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,18-26,1.6,29,1440,4.64
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,35-44,5.2105263157894735,18,1881,23.968421052631577
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,52-61,6.214285714285714,13,1218,27.342857142857145
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,35-44,1.3191489361702127,46,2914,5.936170212765957
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,52-61,2.6206896551724137,28,2204,12.055172413793102
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,35-44,2.0408163265306123,48,4900,7.755102040816326
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,26-35,1.6590909090909092,43,3212,5.9727272727272736
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,18-26,2.4210526315789473,37,3496,11.621052631578946
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,18-26,3.1904761904761907,20,1407,8.295238095238096
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,18-26,1.1764705882352942,33,1360,4.352941176470589
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,61-70,3.0625,31,3136,8.26875
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,26-35,1.6666666666666667,50,4335,7.666666666666666
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,44-52,1.8611111111111112,35,2412,8.933333333333334
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,52-61,3.869565217391304,22,2047,15.478260869565217
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,52-61,12.0,1,48,52.800000000000004
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,61-70,19.2,4,480,69.12
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,61-70,1.09375,31,1120,4.046875
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,26-35,1.425531914893617,46,3149,4.419148936170212
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,61-70,2.393939393939394,32,2607,8.139393939393939
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,52-61,1.9318181818181819,43,3740,5.022727272727273
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,52-61,0.9629629629629629,26,702,3.8518518518518516
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,18-26,7.5,9,750,37.5
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,35-44,2.2413793103448274,28,1885,9.637931034482758
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,35-44,2.5714285714285716,20,1134,7.971428571428572
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,61-70,9.5,9,950,35.15
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,52-61,1.9183673469387754,48,4606,7.289795918367346
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,52-61,6.615384615384615,12,1118,22.49230769230769
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,44-52,1.0666666666666667,29,960,4.906666666666666
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,44-52,1.6071428571428572,27,1260,7.714285714285714
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,35-44,1.6888888888888889,44,3420,7.2622222222222215
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually,61-70,2.5454545454545454,32,2772,10.181818181818182
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly,18-26,6.0,11,864,25.200000000000003
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,35-44,0.8888888888888888,44,1800,4.266666666666667
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly,52-61,1.8936170212765957,46,4183,5.870212765957447
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually,35-44,1.6862745098039216,50,4386,5.227450980392157
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,44-52,1.173913043478261,45,2484,4.22608695652174
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,35-44,0.7346938775510204,48,1764,2.8653061224489798
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly,18-26,3.2962962962962963,26,2403,15.822222222222221
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly,18-26,1.4545454545454546,21,704,6.836363636363637
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,18-26,1.34,49,3350,5.628000000000001
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,35-44,2.7857142857142856,13,546,10.307142857142857
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,26-35,0.6170212765957447,46,1363,2.4063829787234043
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,26-35,1.3488372093023255,42,2494,6.339534883720931
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually,44-52,2.5,25,1690,6.25
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly,35-44,3.6153846153846154,25,2444,17.715384615384618
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly,35-44,6.230769230769231,12,1053,25.546153846153846
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,35-44,17.2,4,430,56.76
