Customer ID,Age,Item Purchased,Purchase Amount (USD),Size,Color,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Age Group,Average Purchase Amount,Recency,Total Spending,Value Score,Gender_Female,Gender_Male,Category_Accessories,Category_Clothing,Category_Footwear,Category_Outerwear,Location_Alabama,Location_Alaska,Location_Arizona,Location_Arkansas,Location_California,Location_Colorado,Location_Connecticut,Location_Delaware,Location_Florida,Location_Georgia,Location_Hawaii,Location_Idaho,Location_Illinois,Location_Indiana,Location_Iowa,Location_Kansas,Location_Kentucky,Location_Louisiana,Location_Maine,Location_Maryland,Location_Massachusetts,Location_Michigan,Location_Minnesota,Location_Mississippi,Location_Missouri,Location_Montana,Location_Nebraska,Location_Nevada,Location_New Hampshire,Location_New Jersey,Location_New Mexico,Location_New York,Location_North Carolina,Location_North Dakota,Location_Ohio,Location_Oklahoma,Location_Oregon,Location_Pennsylvania,Location_Rhode Island,Location_South Carolina,Location_South Dakota,Location_Tennessee,Location_Texas,Location_Utah,Location_Vermont,Location_Virginia,Location_Washington,Location_West Virginia,Location_Wisconsin,Location_Wyoming,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Payment Method_Bank Transfer,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_PayPal,Payment Method_Venmo,Shipping Type_2-Day Shipping,Shipping Type_Express,Shipping Type_Free Shipping,Shipping Type_Next Day Air,Shipping Type_Standard,Shipping Type_Store Pickup,Frequency of Purchases_Encoded
11,53,Shoes,34,L,Purple,4.1,Yes,Yes,Yes,26,Bank Transfer,Bi-Weekly,52-61,1.2592592592592593,26,918,5.162962962962963,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1
12,30,Shorts,68,S,Olive,4.9,Yes,Yes,Yes,10,Bank Transfer,Fortnightly,26-35,6.181818181818182,10,748,30.290909090909093,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3
13,61,Coat,72,M,Gold,4.5,Yes,Yes,Yes,37,Venmo,Fortnightly,52-61,1.894736842105263,37,2736,8.526315789473683,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,3
14,65,Dress,51,M,Violet,4.7,Yes,Yes,Yes,31,PayPal,Weekly,61-70,1.59375,31,1632,7.4906250000000005,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,6
15,64,Coat,53,L,Teal,4.7,Yes,Yes,Yes,34,Debit Card,Weekly,61-70,1.5142857142857142,34,1855,7.117142857142857,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,6
16,64,Skirt,81,M,Teal,2.8,Yes,Yes,Yes,8,PayPal,Monthly,61-70,9.0,8,729,25.2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,4
17,25,Sunglasses,36,S,Gray,4.1,Yes,Yes,Yes,44,Debit Card,Bi-Weekly,18-26,0.8,44,1620,3.28,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
18,53,Dress,38,XL,Lavender,4.7,Yes,Yes,Yes,36,Venmo,Quarterly,52-61,1.027027027027027,36,1406,4.827027027027027,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,5
19,52,Sweater,48,S,Black,4.6,Yes,Yes,Yes,17,Cash,Weekly,44-52,2.6666666666666665,17,864,12.266666666666666,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6
20,66,Pants,90,M,Green,3.3,Yes,Yes,Yes,46,Debit Card,Bi-Weekly,61-70,1.9148936170212767,46,4230,6.319148936170213,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1
21,21,Pants,51,M,Black,2.8,Yes,Yes,Yes,50,Cash,Every 3 Months,18-26,1.0,50,2601,2.8,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,2
22,31,Pants,62,M,Charcoal,4.1,Yes,Yes,Yes,22,Debit Card,Quarterly,26-35,2.6956521739130435,22,1426,11.052173913043477,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,5
23,56,Pants,37,M,Peach,3.2,Yes,Yes,Yes,32,Debit Card,Annually,52-61,1.121212121212121,32,1221,3.587878787878788,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0
24,31,Pants,88,XL,White,4.4,Yes,Yes,Yes,40,Credit Card,Weekly,26-35,2.1463414634146343,40,3608,9.443902439024392,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,6
25,18,Jacket,22,M,Green,2.9,Yes,Yes,Yes,16,Debit Card,Weekly,18-26,1.2941176470588236,16,374,3.7529411764705882,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,6
26,18,Hoodie,25,M,Silver,3.6,Yes,Yes,Yes,14,PayPal,Annually,18-26,1.6666666666666667,14,375,6.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,0
27,38,Jewelry,20,M,Red,3.6,Yes,Yes,Yes,13,Credit Card,Annually,35-44,1.4285714285714286,13,280,5.142857142857143,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
28,56,Shorts,56,L,Cyan,5.0,Yes,Yes,Yes,7,Bank Transfer,Every 3 Months,52-61,7.0,7,448,35.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,2
29,54,Handbag,94,M,Gray,4.4,Yes,Yes,Yes,41,PayPal,Every 3 Months,52-61,2.238095238095238,41,3948,9.847619047619048,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2
30,31,Dress,48,S,Black,4.1,Yes,Yes,Yes,14,Credit Card,Weekly,26-35,3.2,14,720,13.12,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,6
31,57,Jewelry,31,L,Black,4.7,Yes,Yes,Yes,16,Credit Card,Monthly,52-61,1.8235294117647058,16,527,8.570588235294117,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,4
32,33,Dress,79,L,Brown,4.7,Yes,Yes,Yes,45,Venmo,Monthly,26-35,1.7173913043478262,45,3634,8.071739130434784,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,4
33,36,Jacket,67,M,Silver,4.9,Yes,Yes,Yes,37,Venmo,Annually,35-44,1.763157894736842,37,2546,8.639473684210527,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0
34,54,Pants,38,L,Green,3.3,Yes,Yes,Yes,45,Cash,Quarterly,52-61,0.8260869565217391,45,1748,2.726086956521739,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,5
35,36,T-shirt,91,L,Violet,4.6,Yes,Yes,Yes,38,PayPal,Quarterly,35-44,2.3333333333333335,38,3549,10.733333333333333,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,5
36,54,Blouse,33,M,Cyan,4.0,Yes,Yes,Yes,48,Credit Card,Bi-Weekly,52-61,0.673469387755102,48,1617,2.693877551020408,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,1
37,35,T-shirt,69,M,Maroon,4.6,Yes,Yes,Yes,44,PayPal,Fortnightly,26-35,1.5333333333333334,44,3105,7.053333333333334,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,3
38,35,Jeans,45,S,Cyan,2.8,Yes,Yes,Yes,10,PayPal,Weekly,26-35,4.090909090909091,10,495,11.454545454545453,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,6
39,29,Dress,37,M,Red,3.7,Yes,Yes,Yes,44,Venmo,Every 3 Months,26-35,0.8222222222222222,44,1665,3.042222222222222,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2
40,70,Pants,60,S,Turquoise,4.2,Yes,Yes,Yes,18,Credit Card,Monthly,61-70,3.1578947368421053,18,1140,13.263157894736842,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,4
41,69,Handbag,76,L,Beige,4.6,Yes,Yes,Yes,31,Debit Card,Quarterly,61-70,2.375,31,2432,10.924999999999999,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,5
42,67,Scarf,39,M,Orange,4.5,Yes,Yes,Yes,40,Venmo,Annually,61-70,0.9512195121951219,40,1599,4.280487804878049,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
43,20,Coat,100,M,Beige,4.1,Yes,Yes,Yes,15,PayPal,Annually,18-26,6.25,15,1600,25.624999999999996,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0
44,25,Scarf,69,L,Lavender,3.7,Yes,Yes,Yes,19,PayPal,Fortnightly,18-26,3.45,19,1380,12.765,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3
45,39,Hat,53,S,Silver,4.6,Yes,Yes,Yes,45,PayPal,Weekly,35-44,1.1521739130434783,45,2438,5.3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,6
46,50,Socks,21,XL,Indigo,2.9,Yes,Yes,Yes,25,PayPal,Annually,44-52,0.8076923076923077,25,546,2.3423076923076924,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0
47,57,Shirt,43,L,White,2.9,Yes,Yes,Yes,45,Cash,Quarterly,52-61,0.9347826086956522,45,1978,2.7108695652173913,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,5
48,55,Jewelry,54,M,Charcoal,4.5,Yes,Yes,Yes,36,Cash,Weekly,52-61,1.4594594594594594,36,1998,6.5675675675675675,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,6
49,42,Shirt,55,M,Orange,2.7,Yes,Yes,Yes,38,Cash,Monthly,35-44,1.4102564102564104,38,2145,3.8076923076923084,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,4
50,68,Hoodie,30,S,Indigo,4.6,Yes,Yes,Yes,34,Debit Card,Bi-Weekly,61-70,0.8571428571428571,34,1050,3.942857142857142,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
51,49,Blouse,28,M,Red,3.7,Yes,Yes,Yes,39,Debit Card,Bi-Weekly,44-52,0.7,39,1120,2.59,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
52,59,Skirt,59,XL,Gray,4.7,Yes,Yes,Yes,7,Credit Card,Quarterly,52-61,7.375,7,472,34.6625,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,5
53,42,T-shirt,20,M,Green,2.6,Yes,Yes,Yes,26,Credit Card,Weekly,35-44,0.7407407407407407,26,540,1.9259259259259258,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,6
54,29,Skirt,24,S,Peach,3.9,Yes,Yes,Yes,35,Credit Card,Weekly,26-35,0.6666666666666666,35,864,2.5999999999999996,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,6
55,47,Coat,94,M,Brown,4.2,Yes,Yes,Yes,35,Debit Card,Bi-Weekly,44-52,2.611111111111111,35,3384,10.966666666666667,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,1
56,40,Jacket,28,M,Lavender,3.0,Yes,Yes,Yes,49,Credit Card,Annually,35-44,0.56,49,1400,1.6800000000000002,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,0
57,41,Backpack,73,XL,Brown,4.7,Yes,Yes,Yes,46,Credit Card,Weekly,35-44,1.553191489361702,46,3431,7.3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,6
